[[0.0, 0.13133573058309375, 0.2046620814927822, 0.14780760492643313, 0.24605941359721414, 0.14664388440156007, 0.09762323607774057, 0.15190177998772364, 0.13002862782881475, 0.15549236636205266, 0.17268539726861018, 0.19477482751331784],
[0.13133573058309375, 0.0, 0.15078289685626695, 0.08323467650876928, 0.198641010088603, 0.07703978060238717, 0.08556162869144751, 0.08668003650531245, 0.0486972753662776, 0.12151974419926283, 0.10318866823438913, 0.09722514860883505],
[0.2046620814927822, 0.15078289685626695, 0.0, 0.07178896727646249, 0.07246154626382537, 0.08030350932800252, 0.14735022373498174, 0.06752647534198407, 0.10706221056391108, 0.07038548952298014, 0.05900024978523987, 0.2213140082538449],
[0.14780760492643313, 0.08323467650876928, 0.07178896727646249, 0.0, 0.11750663047280734, 0.014990958552821579, 0.0862366150861049, 0.00747732761881645, 0.03813961037270735, 0.06193399237132918, 0.029568773760039007, 0.15394431109243964],
[0.24605941359721414, 0.198641010088603, 0.07246154626382537, 0.11750663047280734, 0.0, 0.1263728590578224, 0.19197062932196352, 0.11319800350099986, 0.15377761744598278, 0.11674986116440092, 0.11420849962402843, 0.2688061084850636],
[0.14664388440156007, 0.07703978060238717, 0.08030350932800252, 0.014990958552821579, 0.1263728590578224, 0.0, 0.0861127187131463, 0.01694926297039832, 0.03022996864167059, 0.06521493122862357, 0.0390722391037214, 0.14481030784446666],
[0.09762323607774057, 0.08556162869144751, 0.14735022373498174, 0.0862366150861049, 0.19197062932196352, 0.0861127187131463, 0.0, 0.08979486919779042, 0.0757545177776416, 0.10687835258199938, 0.10682738621837494, 0.15176456973329125],
[0.15190177998772364, 0.08668003650531245, 0.06752647534198407, 0.00747732761881645, 0.11319800350099986, 0.01694926297039832, 0.08979486919779042, 0.0, 0.04102220742029648, 0.06207666992066213, 0.02509423041240056, 0.15846885769403835],
[0.13002862782881475, 0.0486972753662776, 0.10706221056391108, 0.03813961037270735, 0.15377761744598278, 0.03022996864167059, 0.0757545177776416, 0.04102220742029648, 0.0, 0.08406224899622858, 0.05895826076423631, 0.11997299603788378],
[0.15549236636205266, 0.12151974419926283, 0.07038548952298014, 0.06193399237132918, 0.11674986116440092, 0.06521493122862357, 0.10687835258199938, 0.06207666992066213, 0.08406224899622858, 0.0, 0.0688083017128895, 0.18942858750033478],
[0.17268539726861018, 0.10318866823438913, 0.05900024978523987, 0.029568773760039007, 0.11420849962402843, 0.0390722391037214, 0.10682738621837494, 0.02509423041240056, 0.05895826076423631, 0.0688083017128895, 0.0, 0.1774753525459865],
[0.19477482751331784, 0.09722514860883505, 0.2213140082538449, 0.15394431109243964, 0.2688061084850636, 0.14481030784446666, 0.15176456973329125, 0.15846885769403835, 0.11997299603788378, 0.18942858750033478, 0.1774753525459865, 0.0]]
